,date,close,daily change,daily change pct,high to date,off from high
399,1929-08-05,29.540001,-0.02,-0.068,29.559999,-0.068
400,1929-08-06,29.43,-0.11,-0.372,29.559999,-0.44
401,1929-08-07,29.129999,-0.3,-1.019,29.559999,-1.455
402,1929-08-08,29.469999,0.34,1.167,29.559999,-0.304
403,1929-08-09,28.379999,-1.09,-3.699,29.559999,-3.992
404,1929-08-12,29.27,0.89,3.136,29.559999,-0.981
405,1929-08-13,29.530001,0.26,0.888,29.559999,-0.101
406,1929-08-14,29.620001,0.09,0.305,29.620001,0.0
407,1929-08-15,29.67,0.05,0.169,29.67,0.0
408,1929-08-16,30.219999,0.55,1.854,30.219999,0.0
409,1929-08-19,30.5,0.28,0.927,30.5,0.0
410,1929-08-20,30.68,0.18,0.59,30.68,0.0
411,1929-08-21,30.549999,-0.13,-0.424,30.68,-0.424
412,1929-08-22,30.790001,0.24,0.786,30.790001,0.0
413,1929-08-23,31.09,0.3,0.974,31.09,0.0
414,1929-08-26,31.07,-0.02,-0.064,31.09,-0.064
415,1929-08-27,31.049999,-0.02,-0.064,31.09,-0.129
416,1929-08-28,30.99,-0.06,-0.193,31.09,-0.322
417,1929-08-29,31.290001,0.3,0.968,31.290001,0.0
418,1929-08-30,31.709999,0.42,1.342,31.709999,0.0
419,1929-09-03,31.82,0.11,0.347,31.82,0.0
420,1929-09-04,31.719999,-0.1,-0.314,31.82,-0.314
421,1929-09-05,31.02,-0.7,-2.207,31.82,-2.514
422,1929-09-06,31.83,0.81,2.611,31.83,0.0
423,1929-09-09,31.67,-0.16,-0.503,31.83,-0.503
424,1929-09-10,31.1,-0.57,-1.8,31.83,-2.293
425,1929-09-11,31.530001,0.43,1.383,31.83,-0.943
426,1929-09-12,31.17,-0.36,-1.142,31.83,-2.074
427,1929-09-13,31.379999,0.21,0.674,31.83,-1.414
428,1929-09-16,31.860001,0.48,1.53,31.860001,0.0
429,1929-09-17,31.6,-0.26,-0.816,31.860001,-0.816
430,1929-09-18,31.68,0.08,0.253,31.860001,-0.565
431,1929-09-19,31.73,0.05,0.158,31.860001,-0.408
432,1929-09-20,31.389999,-0.34,-1.072,31.860001,-1.475
433,1929-09-23,31.379999,-0.01,-0.032,31.860001,-1.507
434,1929-09-24,30.799999,-0.58,-1.848,31.860001,-3.327
435,1929-09-25,30.85,0.05,0.162,31.860001,-3.17
436,1929-09-26,31.129999,0.28,0.908,31.860001,-2.291
437,1929-09-27,30.27,-0.86,-2.763,31.860001,-4.991
438,1929-09-30,30.16,-0.11,-0.363,31.860001,-5.336
439,1929-10-01,29.98,-0.18,-0.597,31.860001,-5.901
440,1929-10-02,30.200001,0.22,0.734,31.860001,-5.21
441,1929-10-03,28.950001,-1.25,-4.139,31.860001,-9.134
