date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
1978-07-13,96.25,0.01,0.01,120.24,-19.95,True,1,12650,-96.25,-569083.08,1217562.5,648479.42
1978-07-14,97.58,1.33,1.38,120.24,-18.85,True,1,12651,-97.58,-569180.66,1234484.58,665303.92
1978-07-17,97.78,0.2,0.2,120.24,-18.68,True,1,12652,-97.78,-569278.44,1237112.56,667834.12
1978-07-18,96.87,-0.91,-0.93,120.24,-19.44,True,1,12653,-96.87,-569375.31,1225696.11,656320.8
1978-07-19,98.12,1.25,1.29,120.24,-18.4,True,1,12654,-98.12,-569473.43,1241610.48,672137.05
1978-07-20,98.03,-0.09,-0.09,120.24,-18.47,True,1,12655,-98.03,-569571.46,1240569.65,670998.19
1978-07-21,97.75,-0.28,-0.29,120.24,-18.7,True,1,12656,-97.75,-569669.21,1237124.0,667454.79
1978-07-24,97.72,-0.03,-0.03,120.24,-18.73,True,1,12657,-97.72,-569766.93,1236842.04,667075.11
1978-07-25,98.44,0.72,0.74,120.24,-18.13,True,1,12658,-98.44,-569865.37,1246053.52,676188.15
1978-07-26,99.08,0.64,0.65,120.24,-17.6,True,1,12659,-99.08,-569964.45,1254253.72,684289.27
1978-07-27,99.54,0.46,0.46,120.24,-17.22,True,1,12660,-99.54,-570063.99,1260176.4,690112.41
1978-07-28,100.0,0.46,0.46,120.24,-16.83,True,1,12661,-100.0,-570163.99,1266100.0,695936.01
1978-07-31,100.68,0.68,0.68,120.24,-16.27,True,1,12662,-100.68,-570264.67,1274810.16,704545.49
1978-08-01,100.66,-0.02,-0.02,120.24,-16.28,True,1,12663,-100.66,-570365.33,1274657.58,704292.25
1978-08-02,102.92,2.26,2.24,120.24,-14.4,True,1,12664,-102.92,-570468.25,1303378.88,732910.63
1978-08-03,103.51,0.59,0.57,120.24,-13.91,True,1,12665,-103.51,-570571.76,1310954.15,740382.39
1978-08-04,103.92,0.41,0.4,120.24,-13.57,True,1,12666,-103.92,-570675.68,1316250.72,745575.04
1978-08-07,103.55,-0.37,-0.36,120.24,-13.88,True,1,12667,-103.55,-570779.23,1311667.85,740888.62
1978-08-08,104.01,0.46,0.44,120.24,-13.5,True,1,12668,-104.01,-570883.24,1317598.68,746715.44
1978-08-09,104.5,0.49,0.47,120.24,-13.09,True,1,12669,-104.5,-570987.74,1323910.5,752922.76
1978-08-10,103.66,-0.84,-0.8,120.24,-13.79,True,1,12670,-103.66,-571091.4,1313372.2,742280.8
1978-08-11,103.96,0.3,0.29,120.24,-13.54,True,1,12671,-103.96,-571195.36,1317277.16,746081.8
1978-08-14,103.97,0.01,0.01,120.24,-13.53,True,1,12672,-103.97,-571299.33,1317507.84,746208.51
1978-08-15,103.85,-0.12,-0.12,120.24,-13.63,True,1,12673,-103.85,-571403.18,1316091.05,744687.87
1978-08-16,104.65,0.8,0.77,120.24,-12.97,True,1,12674,-104.65,-571507.83,1326334.1,754826.27
1978-08-17,105.08,0.43,0.41,120.24,-12.61,True,1,12675,-105.08,-571612.91,1331889.0,760276.09
1978-08-18,104.73,-0.35,-0.33,120.24,-12.9,True,1,12676,-104.73,-571717.64,1327557.48,755839.84
1978-08-21,103.89,-0.84,-0.8,120.24,-13.6,True,1,12677,-103.89,-571821.53,1317013.53,745192.0
1978-08-22,104.31,0.42,0.4,120.24,-13.25,True,1,12678,-104.31,-571925.84,1322442.18,750516.34
1978-08-23,104.91,0.6,0.57,120.24,-12.75,True,1,12679,-104.91,-572030.75,1330153.89,758123.14
1978-08-24,105.08,0.17,0.16,120.24,-12.61,True,1,12680,-105.08,-572135.83,1332414.4,760278.57
1978-08-25,104.9,-0.18,-0.17,120.24,-12.76,True,1,12681,-104.9,-572240.73,1330236.9,757996.17
1978-08-28,103.96,-0.94,-0.9,120.24,-13.54,True,1,12682,-103.96,-572344.69,1318420.72,746076.03
1978-08-29,103.39,-0.57,-0.55,120.24,-14.01,True,1,12683,-103.39,-572448.08,1311295.37,738847.29
1978-08-30,103.5,0.11,0.11,120.24,-13.92,True,1,12684,-103.5,-572551.58,1312794.0,740242.42
1978-08-31,103.29,-0.21,-0.2,120.24,-14.1,True,1,12685,-103.29,-572654.87,1310233.65,737578.78
1978-09-01,103.68,0.39,0.38,120.24,-13.77,True,1,12686,-103.68,-572758.55,1315284.48,742525.93
1978-09-05,104.49,0.81,0.78,120.24,-13.1,True,1,12687,-104.49,-572863.04,1325664.63,752801.59
1978-09-06,105.38,0.89,0.85,120.24,-12.36,True,1,12688,-105.38,-572968.42,1337061.44,764093.02
1978-09-07,105.42,0.04,0.04,120.24,-12.32,True,1,12689,-105.42,-573073.84,1337674.38,764600.54
1978-09-08,106.79,1.37,1.3,120.24,-11.19,True,1,12690,-106.79,-573180.63,1355165.1,781984.47
1978-09-11,106.98,0.19,0.18,120.24,-11.03,True,1,12691,-106.98,-573287.61,1357683.18,784395.57
1978-09-12,106.99,0.01,0.01,120.24,-11.02,True,1,12692,-106.99,-573394.6,1357917.08,784522.48
1978-09-13,106.34,-0.65,-0.61,120.24,-11.56,True,1,12693,-106.34,-573500.94,1349773.62,776272.68
1978-09-14,105.1,-1.24,-1.17,120.24,-12.59,True,1,12694,-105.1,-573606.04,1334139.4,760533.36
1978-09-15,104.12,-0.98,-0.93,120.24,-13.41,True,1,12695,-104.12,-573710.16,1321803.4,748093.24
1978-09-18,103.21,-0.91,-0.87,120.24,-14.16,True,1,12696,-103.21,-573813.37,1310354.16,736540.79
1978-09-19,102.53,-0.68,-0.66,120.24,-14.73,True,1,12697,-102.53,-573915.9,1301823.41,727907.51
1978-09-20,101.73,-0.8,-0.78,120.24,-15.39,True,1,12698,-101.73,-574017.63,1291767.54,717749.91
1978-09-21,101.9,0.17,0.17,120.24,-15.25,True,1,12699,-101.9,-574119.53,1294028.1,719908.57
1978-09-22,101.84,-0.06,-0.06,120.24,-15.3,True,1,12700,-101.84,-574221.37,1293368.0,719146.63
1978-09-25,101.86,0.02,0.02,120.24,-15.29,True,1,12701,-101.86,-574323.23,1293723.86,719400.63
1978-09-26,102.62,0.76,0.75,120.24,-14.65,True,1,12702,-102.62,-574425.85,1303479.24,729053.39
1978-09-27,101.66,-0.96,-0.94,120.24,-15.45,True,1,12703,-101.66,-574527.51,1291386.98,716859.47
1978-09-28,101.96,0.3,0.3,120.24,-15.2,True,1,12704,-101.96,-574629.47,1295299.84,720670.37
1978-09-29,102.54,0.58,0.57,120.24,-14.72,True,1,12705,-102.54,-574732.01,1302770.7,728038.69
1978-10-02,102.96,0.42,0.41,120.24,-14.37,True,1,12706,-102.96,-574834.97,1308209.76,733374.79
1978-10-03,102.6,-0.36,-0.35,120.24,-14.67,True,1,12707,-102.6,-574937.57,1303738.2,728800.63
1978-10-04,103.06,0.46,0.45,120.24,-14.29,True,1,12708,-103.06,-575040.63,1309686.48,734645.85
1978-10-05,103.27,0.21,0.2,120.24,-14.11,True,1,12709,-103.27,-575143.9,1312458.43,737314.53
1978-10-06,103.52,0.25,0.24,120.24,-13.91,True,1,12710,-103.52,-575247.42,1315739.2,740491.78
1978-10-09,104.59,1.07,1.03,120.24,-13.02,True,1,12711,-104.59,-575352.01,1329443.49,754091.48
1978-10-10,104.46,-0.13,-0.12,120.24,-13.12,True,1,12712,-104.46,-575456.47,1327895.52,752439.05
1978-10-11,105.39,0.93,0.89,120.24,-12.35,True,1,12713,-105.39,-575561.86,1339823.07,764261.21
1978-10-12,104.88,-0.51,-0.48,120.24,-12.77,True,1,12714,-104.88,-575666.74,1333444.32,757777.58
1978-10-13,104.66,-0.22,-0.21,120.24,-12.96,True,1,12715,-104.66,-575771.4,1330751.9,754980.5
1978-10-16,102.61,-2.05,-1.96,120.24,-14.66,True,1,12716,-102.61,-575874.01,1304788.76,728914.75
1978-10-17,101.26,-1.35,-1.32,120.24,-15.78,True,1,12717,-101.26,-575975.27,1287723.42,711748.15
1978-10-18,100.49,-0.77,-0.76,120.24,-16.42,True,1,12718,-100.49,-576075.76,1278031.82,701956.06
1978-10-19,99.33,-1.16,-1.15,120.24,-17.39,True,1,12719,-99.33,-576175.09,1263378.27,687203.18
1978-10-20,97.95,-1.38,-1.39,120.24,-18.54,True,1,12720,-97.95,-576273.04,1245924.0,669650.96
1978-10-23,98.18,0.23,0.24,120.24,-18.35,True,1,12721,-98.18,-576371.22,1248947.78,672576.56
1978-10-24,97.49,-0.69,-0.7,120.24,-18.92,True,1,12722,-97.49,-576468.71,1240267.78,663799.07
1978-10-25,97.31,-0.18,-0.18,120.24,-19.07,True,1,12723,-97.31,-576566.02,1238075.13,661509.11
1978-10-26,96.03,-1.28,-1.32,120.24,-20.14,True,1,12724,-96.03,-576662.05,1221885.72,645223.67
1978-10-27,94.59,-1.44,-1.5,120.24,-21.33,True,1,12725,-94.59,-576756.64,1203657.75,626901.11
1978-10-30,95.06,0.47,0.5,120.24,-20.94,True,1,12726,-95.06,-576851.7,1209733.56,632881.86
1978-10-31,93.15,-1.91,-2.01,120.24,-22.53,True,1,12727,-93.15,-576944.85,1185520.05,608575.2
1978-11-01,96.85,3.7,3.97,120.24,-19.45,True,1,12728,-96.85,-577041.7,1232706.8,655665.1
1978-11-02,95.61,-1.24,-1.28,120.24,-20.48,True,1,12729,-95.61,-577137.31,1217019.69,639882.38
1978-11-03,96.18,0.57,0.6,120.24,-20.01,True,1,12730,-96.18,-577233.49,1224371.4,647137.91
1978-11-06,95.19,-0.99,-1.03,120.24,-20.83,True,1,12731,-95.19,-577328.68,1211863.89,634535.21
1978-11-07,93.85,-1.34,-1.41,120.24,-21.95,True,1,12732,-93.85,-577422.53,1194898.2,617475.67
1978-11-08,94.45,0.6,0.64,120.24,-21.45,True,1,12733,-94.45,-577516.98,1202631.85,625114.87
1978-11-09,94.42,-0.03,-0.03,120.24,-21.47,True,1,12734,-94.42,-577611.4,1202344.28,624732.88
1978-11-10,94.77,0.35,0.37,120.24,-21.18,True,1,12735,-94.77,-577706.17,1206895.95,629189.78
1978-11-13,93.13,-1.64,-1.73,120.24,-22.55,True,1,12736,-93.13,-577799.3,1186103.68,608304.38
1978-11-14,92.49,-0.64,-0.69,120.24,-23.08,True,1,12737,-92.49,-577891.79,1178045.13,600153.34
1978-11-15,92.71,0.22,0.24,120.24,-22.9,True,1,12738,-92.71,-577984.5,1180939.98,602955.48
1978-11-16,93.71,1.0,1.08,120.24,-22.06,True,1,12739,-93.71,-578078.21,1193771.69,615693.48
1978-11-17,94.42,0.71,0.76,120.24,-21.47,True,1,12740,-94.42,-578172.63,1202910.8,624738.17
1978-11-20,95.25,0.83,0.88,120.24,-20.78,True,1,12741,-95.25,-578267.88,1213580.25,635312.37
1978-11-21,95.01,-0.24,-0.25,120.24,-20.98,True,1,12742,-95.01,-578362.89,1210617.42,632254.53
1978-11-22,95.48,0.47,0.5,120.24,-20.59,True,1,12743,-95.48,-578458.37,1216701.64,638243.27
