,high date,high close,next high date,next high close,date diff,close diff,close diff (%)
17350,1997-02-12,802.77002,1997-02-13,811.820007,1.0,9.05,1.127
17351,1997-02-13,811.820007,1997-02-18,816.289978,5.0,4.47,0.551
17353,1997-02-18,816.289978,1997-05-05,830.289978,76.0,14.0,1.715
17406,1997-05-05,830.289978,1997-05-12,837.659973,7.0,7.37,0.888
17411,1997-05-12,837.659973,1997-05-15,841.8800050000001,3.0,4.22,0.504
17414,1997-05-15,841.8800050000001,1997-05-23,847.0300289999999,8.0,5.15,0.612
17420,1997-05-23,847.0300289999999,1997-05-27,849.7100220000003,4.0,2.68,0.316
17421,1997-05-27,849.7100220000003,1997-06-06,858.01001,10.0,8.3,0.977
17429,1997-06-06,858.01001,1997-06-09,862.909973,3.0,4.9,0.571
17430,1997-06-09,862.909973,1997-06-10,865.2700199999997,1.0,2.36,0.273
17431,1997-06-10,865.2700199999997,1997-06-11,869.570007,1.0,4.3,0.497
17432,1997-06-11,869.570007,1997-06-12,883.4600220000003,1.0,13.89,1.597
17433,1997-06-12,883.4600220000003,1997-06-13,893.2700199999997,1.0,9.81,1.11
17434,1997-06-13,893.2700199999997,1997-06-16,893.900024,3.0,0.63,0.071
17435,1997-06-16,893.900024,1997-06-17,894.419983,1.0,0.52,0.058
17436,1997-06-17,894.419983,1997-06-19,897.98999,2.0,3.57,0.399
17438,1997-06-19,897.98999,1997-06-20,898.7000119999999,1.0,0.71,0.079
17439,1997-06-20,898.7000119999999,1997-07-02,904.0300289999999,12.0,5.33,0.593
17447,1997-07-02,904.0300289999999,1997-07-03,916.919983,1.0,12.89,1.426
17448,1997-07-03,916.919983,1997-07-08,918.75,5.0,1.83,0.2
17450,1997-07-08,918.75,1997-07-15,925.76001,7.0,7.01,0.763
17455,1997-07-15,925.76001,1997-07-16,936.590027,1.0,10.83,1.17
17456,1997-07-16,936.590027,1997-07-24,940.2999880000001,8.0,3.71,0.396
17462,1997-07-24,940.2999880000001,1997-07-29,942.2899779999999,5.0,1.99,0.212
17465,1997-07-29,942.2899779999999,1997-07-30,952.2899779999999,1.0,10.0,1.061
17466,1997-07-30,952.2899779999999,1997-07-31,954.3099980000001,1.0,2.02,0.212
17467,1997-07-31,954.3099980000001,1997-08-06,960.320007,6.0,6.01,0.63
17471,1997-08-06,960.320007,1997-10-02,960.4600220000001,57.0,0.14,0.015
17511,1997-10-02,960.4600220000001,1997-10-03,965.0300289999999,1.0,4.57,0.476
17512,1997-10-03,965.0300289999999,1997-10-06,972.6900019999999,3.0,7.66,0.794
17513,1997-10-06,972.6900019999999,1997-10-07,983.1199949999999,1.0,10.43,1.072
17514,1997-10-07,983.1199949999999,1997-12-05,983.7899779999999,59.0,0.67,0.068
17556,1997-12-05,983.7899779999999,1998-01-29,985.48999,55.0,1.7,0.173
17592,1998-01-29,985.48999,1998-02-02,1001.2700199999999,4.0,15.78,1.601
17594,1998-02-02,1001.2700199999999,1998-02-03,1006.0,1.0,4.73,0.472
17595,1998-02-03,1006.0,1998-02-04,1006.900024,1.0,0.9,0.089
17596,1998-02-04,1006.900024,1998-02-06,1012.4600220000001,2.0,5.56,0.552
17598,1998-02-06,1012.4600220000001,1998-02-10,1019.01001,4.0,6.55,0.647
17600,1998-02-10,1019.01001,1998-02-11,1020.01001,1.0,1.0,0.098
17601,1998-02-11,1020.01001,1998-02-12,1024.140015,1.0,4.13,0.405
17602,1998-02-12,1024.140015,1998-02-18,1032.079956,6.0,7.94,0.775
17605,1998-02-18,1032.079956,1998-02-20,1034.209961,2.0,2.13,0.206
17607,1998-02-20,1034.209961,1998-02-23,1038.140015,3.0,3.93,0.38
17608,1998-02-23,1038.140015,1998-02-25,1042.900024,2.0,4.76,0.459
17610,1998-02-25,1042.900024,1998-02-26,1048.670044,1.0,5.77,0.553
17611,1998-02-26,1048.670044,1998-02-27,1049.339966,1.0,0.67,0.064
17612,1998-02-27,1049.339966,1998-03-03,1052.02002,4.0,2.68,0.255
17614,1998-03-03,1052.02002,1998-03-06,1055.689941,3.0,3.67,0.349
17617,1998-03-06,1055.689941,1998-03-10,1064.25,4.0,8.56,0.811
17619,1998-03-10,1064.25,1998-03-11,1068.469971,1.0,4.22,0.397
17620,1998-03-11,1068.469971,1998-03-12,1069.920044,1.0,1.45,0.136
17621,1998-03-12,1069.920044,1998-03-16,1079.27002,4.0,9.35,0.874
17623,1998-03-16,1079.27002,1998-03-17,1080.449951,1.0,1.18,0.109
17624,1998-03-17,1080.449951,1998-03-18,1085.52002,1.0,5.07,0.469
17625,1998-03-18,1085.52002,1998-03-19,1089.73999,1.0,4.22,0.389
17626,1998-03-19,1089.73999,1998-03-20,1099.160034,1.0,9.42,0.864
17627,1998-03-20,1099.160034,1998-03-24,1105.650024,4.0,6.49,0.59
17629,1998-03-24,1105.650024,1998-04-01,1108.150024,8.0,2.5,0.226
17635,1998-04-01,1108.150024,1998-04-02,1120.01001,1.0,11.86,1.07
17636,1998-04-02,1120.01001,1998-04-03,1122.699951,1.0,2.69,0.24
17637,1998-04-03,1122.699951,1998-04-17,1122.719971,14.0,0.02,0.002
17646,1998-04-17,1122.719971,1998-04-20,1123.650024,3.0,0.93,0.083
17647,1998-04-20,1123.650024,1998-04-21,1126.670044,1.0,3.02,0.269
17648,1998-04-21,1126.670044,1998-04-22,1130.540039,1.0,3.87,0.343
17649,1998-04-22,1130.540039,1998-06-24,1132.880005,63.0,2.34,0.207
17693,1998-06-24,1132.880005,1998-06-26,1133.199951,2.0,0.32,0.028
17695,1998-06-26,1133.199951,1998-06-29,1138.48999,3.0,5.29,0.467
17696,1998-06-29,1138.48999,1998-07-01,1148.560059,2.0,10.07,0.885
17698,1998-07-01,1148.560059,1998-07-06,1157.329956,5.0,8.77,0.764
17700,1998-07-06,1157.329956,1998-07-08,1166.380005,2.0,9.05,0.782
17702,1998-07-08,1166.380005,1998-07-14,1177.579956,6.0,11.2,0.96
17706,1998-07-14,1177.579956,1998-07-16,1183.98999,2.0,6.41,0.544
17708,1998-07-16,1183.98999,1998-07-17,1186.75,1.0,2.76,0.233
17709,1998-07-17,1186.75,1998-11-23,1188.209961,129.0,1.46,0.123
17799,1998-11-23,1188.209961,1998-11-27,1192.329956,4.0,4.12,0.347
17802,1998-11-27,1192.329956,1998-12-21,1202.839966,24.0,10.51,0.881
17818,1998-12-21,1202.839966,1998-12-22,1203.569946,1.0,0.73,0.061
17819,1998-12-22,1203.569946,1998-12-23,1228.540039,1.0,24.97,2.075
17820,1998-12-23,1228.540039,1998-12-29,1241.810059,6.0,13.27,1.08
17823,1998-12-29,1241.810059,1999-01-05,1244.780029,7.0,2.97,0.239
17827,1999-01-05,1244.780029,1999-01-06,1272.339966,1.0,27.56,2.214
17828,1999-01-06,1272.339966,1999-01-08,1275.089966,2.0,2.75,0.216
17830,1999-01-08,1275.089966,1999-01-29,1279.640015,21.0,4.55,0.357
17844,1999-01-29,1279.640015,1999-03-08,1282.72998,38.0,3.09,0.241
17869,1999-03-08,1282.72998,1999-03-10,1286.839966,2.0,4.11,0.32
