time interval,start year,end year,"start, end month",start price,end price,return (%),annual return (%)
37,1973,2010,12,93.900002,1206.069946,1184.4195104489988,7.14330807454806
37,1974,2011,1,97.68,1271.869995,1202.0782094594595,7.182856283025862
37,1974,2011,2,95.32,1307.589966,1271.789725136383,7.334046162840413
37,1974,2011,3,95.529999,1306.329956,1267.455217915369,7.324865872338915
37,1974,2011,4,93.25,1332.410034,1328.857945308311,7.4523505839718895
37,1974,2011,5,92.220001,1361.219971,1376.057206939306,7.546772957358461
37,1974,2011,6,89.099998,1314.550049,1375.3648468095364,7.545409242281109
37,1974,2011,7,86.019997,1339.670044,1457.3937348544664,7.702797622065227
37,1974,2011,8,78.75,1286.939941,1534.209448888889,7.843034716851904
37,1974,2011,9,70.519997,1204.420044,1607.9127839441057,7.971686117235222
37,1974,2011,10,63.389998999999996,1099.22998,1634.07477100607,8.016056908198287
37,1974,2011,11,73.879997,1218.280029,1548.9984819571664,7.869296098696399
37,1974,2011,12,68.110001,1244.579956,1727.3086738025447,8.169052300749113
37,1975,2012,1,70.230003,1277.060059,1718.3967029020343,8.154760213467682
37,1975,2012,2,77.82,1324.089966,1601.477725520432,7.960670920379287
37,1975,2012,3,83.029999,1374.089966,1554.9319312890752,7.879767963080653
37,1975,2012,4,82.639999,1419.040039,1617.1346275064693,7.987401391741233
37,1975,2012,5,88.099998,1405.819946,1495.709396043346,7.773568964003563
37,1975,2012,6,92.58000200000001,1278.040039,1280.4709563518911,7.352348055102675
37,1975,2012,7,94.849998,1365.51001,1339.6521231344675,7.474209247325336
37,1975,2012,8,87.989998,1375.319946,1463.0412288451241,7.7133346374900436
37,1975,2012,9,85.480003,1404.939941,1543.589016954059,7.859717009580258
37,1975,2012,10,82.93,1444.48999,1641.8183890027735,8.02906522067628
37,1975,2012,11,88.089996,1427.589966,1520.6039627927782,7.818669975615067
37,1975,2012,12,90.66999799999999,1409.459961,1454.494311337693,7.697373466480983
37,1976,2013,1,90.900002,1462.420044,1508.8228952954257,7.797411087772188
37,1976,2013,2,100.870003,1513.170044,1400.118964009548,7.593783874359139
37,1976,2013,3,100.019997,1518.199951,1417.8964172534418,7.628047847018826
37,1976,2013,4,102.239998,1562.170044,1427.944126133492,7.6472413352875135
37,1976,2013,5,100.91999799999999,1582.699951,1468.2718810596887,7.723060924983205
37,1976,2013,6,99.849998,1640.420044,1542.8844034628823,7.858467021509652
37,1976,2013,7,103.589996,1614.959961,1458.992203262562,7.705783789369014
37,1976,2013,8,103.190002,1706.869995,1554.1040429478817,7.87830902914719
37,1976,2013,9,104.059998,1639.77002,1475.7928613452405,7.736990851756542
37,1976,2013,10,104.16999799999999,1695.0,1527.1479625064408,7.830413728473951
37,1976,2013,11,103.099998,1761.640015,1608.6712407113723,7.972981742752072
37,1976,2013,12,102.489998,1800.9000239999998,1657.147096441547,8.054650429638667
37,1977,2014,1,107.0,1831.97998,1612.1308224299066,7.97888444713204
37,1977,2014,2,102.540001,1741.890015,1598.7419524210845,7.955975682560834
37,1977,2014,3,100.660004,1845.72998,1733.6279621049887,8.179145479067795
37,1977,2014,4,99.209999,1885.52002,1800.5342596566302,8.283979553017584
37,1977,2014,5,98.93,1883.680054,1804.053425654503,8.289393769489518
37,1977,2014,6,96.93,1924.969971,1885.9382760755182,8.412698681568775
37,1977,2014,7,100.099998,1973.319946,1871.3486367901826,8.391095678039928
37,1977,2014,8,99.120003,1925.1500239999998,1842.2416926278743,8.3475280576647
37,1977,2014,9,96.83000200000001,2002.280029,1967.8302051465412,8.531162805616145
37,1977,2014,10,96.739998,1946.160034,1911.742892531381,8.450532439561576
37,1977,2014,11,91.349998,2017.810059,2108.8780549289118,8.724887248784752
37,1977,2014,12,94.690002,2053.439941,2068.592140276858,8.670812873749
37,1978,2015,1,93.82,2058.199951,2093.7752622042212,8.70472859852709
37,1978,2015,2,89.93,2020.8499760000002,2147.1366351606807,8.775359296982032
37,1978,2015,3,87.190002,2117.389893,2328.4778580461552,9.003756137825869
37,1978,2015,4,88.459999,2059.689941,2228.3856706803717,8.879829023523511
37,1978,2015,5,97.66999799999999,2108.290039,2058.585115359581,8.657229266608324
37,1978,2015,6,97.349998,2111.72998,2069.21419967569,8.671655247005727
37,1978,2015,7,95.089996,2077.419922,2084.6882000079167,8.692534358432201
37,1978,2015,8,100.660004,2098.040039,1984.2836833187487,8.554412646055454
37,1978,2015,9,103.68,1913.8499760000002,1745.9201157407406,8.198681951284348
37,1978,2015,10,102.959999,1923.819946,1768.512009212432,8.234260415375605
37,1978,2015,11,96.849998,2104.050049,2072.4833169330577,8.676078323078574
37,1978,2015,12,96.279999,2102.6298829999996,2083.8698637709786,8.691433783888346
37,1979,2016,1,96.730003,2012.660034,1980.6988230942163,8.54936225737093
37,1979,2016,2,99.959999,1939.380005,1840.1560868362953,8.344381952689028
37,1979,2016,3,96.900002,1978.3499760000002,1941.6407999661346,8.493781581499494
37,1979,2016,4,100.900002,2072.780029,1954.2913656235605,8.511896147868026
37,1979,2016,5,101.68,2081.429932,1947.0396656176238,8.501525632758966
37,1979,2016,6,99.16999799999999,2099.330078,2016.900393604929,8.599978976731194
37,1979,2016,7,101.989998,2102.949951,1961.9178274716703,8.522764245530357
37,1979,2016,8,104.16999799999999,2170.840088,1983.9398384168155,8.553928600345095
37,1979,2016,9,107.440002,2170.860107,1920.5324521494329,8.463311624934832
37,1979,2016,10,108.559998,2161.199951,1890.7884955930085,8.419846254577035
37,1979,2016,11,102.57,2111.719971,1958.8085902310618,8.518338153663318
37,1979,2016,12,105.83000200000001,2191.080078,1970.377054325294,8.534773419065678
37,1980,2017,1,105.760002,2257.830078,2034.8619849685704,8.624780937170119
37,1980,2017,2,115.120003,2279.550049,1880.1511375916139,8.40414815261068
37,1980,2017,3,112.5,2395.959961,2029.7421875555556,8.617732102058739
37,1980,2017,4,102.18,2358.840088,2208.5144724995102,8.854610226209324
37,1980,2017,5,105.459999,2388.330078,2164.6786465454074,8.798222375164677
37,1980,2017,6,110.760002,2430.060059,2093.9870125679486,8.70501216726458
37,1980,2017,7,114.93,2429.01001,2013.4690768293744,8.595217615826334
37,1980,2017,8,121.209999,2476.350098,1943.024600635464,8.49576838154511
37,1980,2017,9,123.739998,2476.550049,1901.4143276452937,8.435446077772045
37,1980,2017,10,127.129997,2529.1201170000004,1889.3968195405528,8.417797132495487
37,1980,2017,11,129.03999299999998,2579.360107,1898.8842583089727,8.431738995789217
37,1980,2017,12,137.21000700000002,2642.219971,1825.6758517620362,8.322447572014614
37,1981,2018,1,136.33999599999999,2695.810059,1877.2701614279058,8.39988242536629
37,1981,2018,2,126.910004,2821.97998,2123.6071949064003,8.74441840400797
37,1981,2018,3,132.009995,2677.669922,1928.384231057656,8.47468170860517
37,1981,2018,4,136.570007,2581.8798829999996,1790.5175006690886,8.268515262937083
37,1981,2018,5,132.720001,2654.800049,1900.301408225577,8.433815979547488
37,1981,2018,6,132.41000400000001,2734.6201170000004,1965.2669997653654,8.52752463308284
37,1981,2018,7,129.770004,2726.709961,2001.186620137578,8.578112377307189
37,1981,2018,8,130.479996,2813.360107,2056.162011991478,8.653930915038966
37,1981,2018,9,123.019997,2896.719971,2254.6740705903285,8.912872110258174
37,1981,2018,10,117.08000200000001,2924.590088,2397.9416108995283,9.086873336966361
37,1981,2018,11,124.199997,2740.3701170000004,2106.417216741157,8.721611775617454
37,1981,2018,12,126.099998,2790.3701170000004,2112.8232841050485,8.730131103573346
37,1982,2019,1,122.739998,2510.030029,1944.9976127586378,8.49859888231277
37,1982,2019,2,117.779999,2706.530029,2197.9538563249607,8.841121525476936
37,1982,2019,3,113.309998,2803.689941,2374.353534981088,9.058903884848778
37,1982,2019,4,113.790001,2867.189941,2419.720463839349,9.112470275994667
37,1982,2019,5,116.82,2923.72998,2402.7649203903443,9.092560896856616
37,1982,2019,6,111.68,2744.449951,2357.422950393983,9.038668131374594
37,1982,2019,7,108.709999,2964.330078,2626.8237561109718,9.345658015115866
37,1982,2019,8,108.980003,2953.560059,2610.1853346434573,9.327571815812675
37,1982,2019,9,118.25,2906.27002,2357.7336321353064,9.039040684254651
37,1982,2019,10,121.970001,2940.25,2310.633742636437,8.98203123677872
37,1982,2019,11,135.470001,3066.909912,2163.9033655871904,8.797215571132643
37,1982,2019,12,138.720001,3113.8701170000004,2144.7160427860726,8.77219083375056
37,1983,2020,1,138.33999599999999,3257.850098,2254.9589360982777,8.91322820125524
37,1983,2020,2,142.96000700000002,3248.919922,2172.6075566014765,8.808499895430689
37,1983,2020,3,150.880005,3090.22998,1948.137511660342,8.503097934944371
37,1983,2020,4,153.020004,2470.5,1514.4947950726755,7.807664847616147
37,1983,2020,5,162.110001,2830.709961,1646.16614862645,8.036344270964824
38,1928,1966,1,17.76,92.18,419.0315315315315,4.428944379078614
38,1928,1966,2,17.530001000000002,92.160004,425.7273174143001,4.464175947865656
38,1928,1966,3,17.299999,90.059998,420.5780532126042,4.437120933788097
38,1928,1966,4,18.91,89.940002,375.62137493389747,4.1891913854833485
38,1928,1966,5,19.780001000000002,90.900002,359.55509304574855,4.095016031530885
38,1928,1966,6,20.07,86.099998,328.99849526656703,3.906704951546036
38,1928,1966,7,18.98,85.610001,351.0537460484721,4.043878691010816
38,1928,1966,8,19.42,82.309998,323.84139031925844,3.8736402487859145
38,1928,1966,9,20.969998999999998,77.699997,270.52933097421703,3.506831787301934
38,1928,1966,10,21.360001,74.900002,250.65542365845394,3.3567779451886937
38,1928,1966,11,21.99,80.809998,267.48521145975445,3.484363626836484
38,1928,1966,12,23.85,80.08000200000001,235.7652075471698,3.238822978009326
38,1929,1967,1,24.809998999999998,80.379997,223.982266182276,3.141814992755787
38,1929,1967,2,25.84,86.43,234.48142414860683,3.228415986521571
38,1929,1967,3,25.83,87.68,239.45025164537364,3.2684819738816984
38,1929,1967,4,24.879998999999998,89.239998,258.68167840360445,3.4183513955609257
38,1929,1967,5,25.99,93.839996,261.06193151212005,3.4363537253172316
38,1929,1967,6,25.27,90.230003,257.06372378314205,3.4060479519240072
38,1929,1967,7,27.77,90.910004,227.36767734965792,3.1700339866342686
38,1929,1967,8,29.08,95.370003,227.95736932599726,3.174920271986359
38,1929,1967,9,31.82,93.68,194.40603394091767,2.8823090465832646
38,1929,1967,10,29.98,96.32,221.2808539026017,3.1190907256562372
38,1929,1967,11,22.879998999999998,92.709999,305.20106229025623,3.7507705632962463
38,1929,1967,12,20.950001,94.5,351.07396414921413,4.044001416712106
38,1930,1968,1,21.18,96.110001,353.77715297450425,4.060361975673166
38,1930,1968,2,22.74,92.559998,307.0360510114336,3.7631077136726754
38,1930,1968,3,23.360001,89.110001,281.46402904691655,3.5860828372022757
38,1930,1968,4,25.370001000000002,92.480003,264.52502701911595,3.4623405040907773
38,1930,1968,5,24.299999,97.970001,303.1687449863681,3.7370430667569954
38,1930,1968,6,24.4,99.989998,309.79507377049185,3.781555855558083
38,1930,1968,7,20.24,99.400002,391.10672924901195,4.277074636954437
38,1930,1968,8,21.110001,97.279999,360.824227341344,4.102571007691713
38,1930,1968,9,21.379998999999998,99.32,364.5463266859835,4.124611863433447
38,1930,1968,10,19.42,102.860001,429.660149330587,4.484666413843019
38,1930,1968,11,17.129998999999998,103.059998,501.6345826990416,4.835593379887171
38,1930,1968,12,16.799999,108.120003,543.5714847363979,5.021656227786386
38,1931,1969,1,15.85,103.93,555.7097791798108,5.073309658134195
38,1931,1969,2,16.16,102.889999,536.6955383663367,4.99197376176439
38,1931,1969,3,17.52,98.379997,461.5296632420091,4.64544624060399
38,1931,1969,4,16.52,101.41999799999999,513.9225060532686,4.891387524758439
38,1931,1969,5,14.65,103.510002,606.5529146757679,5.280008893045163
38,1931,1969,6,12.4,102.940002,730.1613064516129,5.727627412870939
38,1931,1969,7,15.07,98.08000200000001,550.8294757796948,5.0526547864576
38,1931,1969,8,13.93,93.470001,570.9978535534817,5.1370577668290895
38,1931,1969,9,13.92,95.540001,586.3505818965517,5.199667844072731
