,date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
7167,1956-08-30,46.94,-0.42,-0.89,49.64,-5.44,True,1,421,-46.94,-18114.58,19761.74,1647.16
7168,1956-08-31,47.51,0.57,1.21,49.64,-4.29,True,1,422,-47.51,-18162.09,20049.22,1887.13
7169,1956-09-04,47.89,0.38,0.8,49.64,-3.52,True,1,423,-47.89,-18209.98,20257.47,2047.49
7170,1956-09-05,48.02,0.13,0.27,49.64,-3.26,True,1,424,-48.02,-18258.0,20360.48,2102.48
7171,1956-09-06,48.1,0.08,0.17,49.64,-3.1,True,1,425,-48.1,-18306.1,20442.5,2136.4
7172,1956-09-07,47.81,-0.29,-0.6,49.64,-3.69,True,1,426,-47.81,-18353.91,20367.06,2013.15
7173,1956-09-10,47.56,-0.25,-0.52,49.64,-4.19,True,1,427,-47.56,-18401.47,20308.12,1906.65
7174,1956-09-11,47.38,-0.18,-0.38,49.64,-4.55,True,1,428,-47.38,-18448.85,20278.64,1829.79
7175,1956-09-12,47.05,-0.33,-0.7,49.64,-5.22,True,1,429,-47.05,-18495.9,20184.45,1688.55
7176,1956-09-13,46.09,-0.96,-2.04,49.64,-7.15,True,1,430,-46.09,-18541.99,19818.7,1276.71
7177,1956-09-14,47.21,1.12,2.43,49.64,-4.89,True,1,431,-47.21,-18589.2,20347.51,1758.31
7178,1956-09-17,47.1,-0.11,-0.23,49.64,-5.12,True,1,432,-47.1,-18636.3,20347.2,1710.9
7179,1956-09-18,46.79,-0.31,-0.66,49.64,-5.74,True,1,433,-46.79,-18683.09,20260.07,1576.98
7180,1956-09-19,46.24,-0.55,-1.18,49.64,-6.85,True,1,434,-46.24,-18729.33,20068.16,1338.83
7181,1956-09-20,46.21,-0.03,-0.06,49.64,-6.91,True,1,435,-46.21,-18775.54,20101.35,1325.81
7182,1956-09-21,46.58,0.37,0.8,49.64,-6.16,True,1,436,-46.58,-18822.12,20308.88,1486.76
