dip,buy days,buy days (%),return (%)
-29.1,1115,6.78,7.86
-29.0,1129,6.859999999999999,7.84
-28.9,1140,6.93,7.829999999999999
-28.8,1153,7.01,7.829999999999999
-28.7,1168,7.1,7.82
-28.6,1181,7.180000000000001,7.8100000000000005
-28.5,1195,7.2700000000000005,7.8
-28.4,1208,7.35,7.8
-28.3,1227,7.46,7.8
-28.2,1251,7.61,7.79
-28.1,1272,7.7299999999999995,7.7700000000000005
-28.0,1286,7.82,7.7700000000000005
-27.9,1303,7.920000000000001,7.76
-27.8,1314,7.99,7.75
-27.7,1331,8.09,7.75
-27.6,1338,8.14,7.739999999999999
-27.5,1356,8.25,7.7299999999999995
-27.4,1377,8.37,7.720000000000001
-27.3,1396,8.49,7.71
-27.2,1408,8.559999999999999,7.71
-27.1,1422,8.649999999999999,7.71
-27.0,1441,8.76,7.71
-26.9,1457,8.86,7.71
-26.8,1474,8.959999999999999,7.7
-26.7,1496,9.1,7.6899999999999995
-26.6,1512,9.19,7.6899999999999995
-26.5,1534,9.33,7.68
-26.4,1546,9.4,7.670000000000001
-26.3,1563,9.5,7.66
-26.2,1579,9.6,7.66
-26.1,1603,9.75,7.6499999999999995
-26.0,1621,9.86,7.64
-25.9,1647,10.01,7.630000000000001
-25.8,1667,10.14,7.630000000000001
-25.7,1691,10.280000000000001,7.630000000000001
-25.6,1712,10.41,7.630000000000001
-25.5,1737,10.56,7.630000000000001
-25.4,1759,10.7,7.62
-25.3,1787,10.870000000000001,7.61
-25.2,1809,11.0,7.61
-25.1,1832,11.14,7.6
-25.0,1864,11.33,7.6
-24.9,1884,11.459999999999999,7.59
-24.8,1902,11.57,7.59
-24.7,1927,11.72,7.59
-24.6,1947,11.84,7.580000000000001
-24.5,1968,11.97,7.580000000000001
-24.4,1986,12.08,7.57
-24.3,2004,12.19,7.57
-24.2,2024,12.31,7.5600000000000005
-24.1,2036,12.379999999999999,7.57
-24.0,2053,12.479999999999999,7.5600000000000005
-23.9,2070,12.590000000000002,7.5600000000000005
-23.8,2083,12.67,7.5600000000000005
-23.7,2102,12.78,7.5600000000000005
-23.6,2128,12.94,7.55
-23.5,2143,13.03,7.539999999999999
-23.4,2161,13.139999999999999,7.55
-23.3,2186,13.29,7.539999999999999
-23.2,2213,13.459999999999999,7.539999999999999
-23.1,2238,13.61,7.539999999999999
-23.0,2259,13.74,7.539999999999999
-22.9,2281,13.87,7.539999999999999
-22.8,2301,13.99,7.539999999999999
-22.7,2323,14.13,7.53
-22.6,2347,14.27,7.53
-22.5,2370,14.41,7.5200000000000005
-22.4,2400,14.59,7.5200000000000005
-22.3,2429,14.77,7.5200000000000005
-22.2,2457,14.940000000000001,7.5200000000000005
-22.1,2489,15.129999999999999,7.53
-22.0,2524,15.35,7.5200000000000005
-21.9,2539,15.440000000000001,7.5200000000000005
-21.8,2558,15.55,7.5200000000000005
-21.7,2576,15.659999999999998,7.51
-21.6,2598,15.8,7.51
-21.5,2621,15.939999999999998,7.51
-21.4,2648,16.1,7.51
-21.3,2669,16.23,7.51
-21.2,2703,16.439999999999998,7.51
-21.1,2728,16.59,7.5
-21.0,2746,16.7,7.5
-20.9,2769,16.84,7.5
-20.8,2793,16.98,7.5
-20.7,2827,17.19,7.5
-20.6,2853,17.349999999999998,7.5
-20.5,2884,17.54,7.489999999999999
-20.4,2912,17.71,7.489999999999999
-20.3,2937,17.86,7.48
-20.2,2962,18.01,7.48
-20.1,3004,18.27,7.48
-20.0,3030,18.42,7.48
-19.9,3062,18.62,7.48
-19.8,3089,18.78,7.48
-19.7,3115,18.94,7.48
-19.6,3150,19.15,7.48
-19.5,3177,19.32,7.48
-19.4,3216,19.55,7.48
-19.3,3238,19.689999999999998,7.48
-19.2,3272,19.900000000000002,7.48
-19.1,3303,20.080000000000002,7.48
-19.0,3334,20.27,7.470000000000001
-18.9,3351,20.380000000000003,7.470000000000001
-18.8,3374,20.52,7.470000000000001
-18.7,3410,20.73,7.470000000000001
-18.6,3437,20.9,7.470000000000001
-18.5,3461,21.04,7.470000000000001
-18.4,3496,21.26,7.470000000000001
-18.3,3529,21.46,7.48
-18.2,3559,21.64,7.470000000000001
